Country,Year,Daily Caloric Supply,Daily Protein Supply,Animal Protein Supply,Vegetal Protein Supply,Daily Meat Consumption,Diabetes Prevalence
Gabon,2000,2716.0,75.75934,36.858753,38.900578,365.76702904109595,0.8986928104575163
Gabon,2011,2772.0,77.13415,37.50237,39.63178,437.16602410958905,8.448275862068966
Germany,2000,3336.0,96.730606,57.837654,38.892952,636.0469347945207,4.202088114555387
Germany,2011,3538.0,105.00158,63.31247,41.68911,669.163325479452,7.995822341240211
Malaysia,2000,2841.0,77.964005,43.36097,34.592827,342.7449484931507,4.854771784232366
Malaysia,2011,2889.0,75.583534,41.39963,34.183903,409.2401543013699,11.664281979233108
Maldives,2011,2750.0,106.21125,71.51449,34.696754,148.47703424657536,7.642031171442936
Mexico,2000,3037.0,91.37873,39.236607,52.13151,422.65405326027405,7.951752637111683
Mexico,2011,3028.0,88.59271,42.355442,46.237263,498.3515753424659,14.84868155328602
Morocco,2000,3063.0,82.00438,16.02685,65.97754,158.12538498630138,2.416954474097331
Morocco,2011,3349.0,96.11317,24.230042,71.883125,246.58536164383563,6.350740811235887
Nigeria,2000,2610.0,58.89199,7.201466,51.690525,64.34679808219178,0.4132541295810227
Nigeria,2011,2706.0,60.423237,9.130884,51.292355,60.93636136986302,4.042942950097549
Pakistan,2000,2398.0,57.488106,20.814981,36.673126,82.53393468493151,11.799412009504504
Pakistan,2011,2426.0,55.647446,21.62939,34.018055,106.16673495890412,6.722500449987824
Peru,2000,2366.0,63.345547,21.176958,42.158833,120.60215095890413,3.7166772174157696
Peru,2011,2632.0,77.106865,34.5874,42.51947,299.28928416438356,5.382861909196341
Philippines,2000,2392.0,53.738083,22.112799,31.625284,215.12370575342467,3.1221253173147008
Philippines,2011,2572.0,59.25389,25.167776,34.076195,255.06017413698632,8.219943936775955
Portugal,2000,3544.0,112.84878,67.31506,45.533714,656.215249041096,5.431659597756191
Portugal,2011,3477.0,113.16476,71.37823,41.786526,707.950690410959,12.721701873256276
Saudi Arabia,2000,3111.0,78.34594,30.927011,47.428272,372.74036657534253,9.419714582742651
Saudi Arabia,2011,3103.0,82.21528,35.51398,46.7013,396.5447959452056,16.21081817754594
Thailand,2000,2604.0,58.758003,23.240255,35.517754,197.7621424109589,3.7453155260444175
Thailand,2000,2604.0,58.758003,23.240255,35.517754,197.7621424109589,3.7453155260444175
Thailand,2011,2760.0,59.546227,25.577364,33.96886,202.92237315068496,8.177762385919166
Thailand,2011,2760.0,59.546227,25.577364,33.96886,202.92237315068496,8.177762385919166
United Arab Emirates,2011,3210.0,81.42153,26.855333,54.555767,242.48262076712328,12.574909126633266
United Kingdom,2000,3362.0,99.33885,54.742455,44.596397,581.6916405479452,3.5227436476295693
United Kingdom,2011,3417.0,102.47546,58.536182,43.92937,579.9244531506849,6.837063269445764
Zimbabwe,2000,1979.0,48.79175,10.037281,38.743904,105.96357709589041,1.0251665433012582
Zimbabwe,2011,2200.0,62.473034,30.974192,31.498842,493.7954432876712,8.93636348889646
